ProductSN:3421198001
Date&Time,,UTHD(%),,,UHD2(%),,,UHD3(%),,,UHD4(%),,,UHD5(%),,,UHD6(%),,,UHD7(%),,,UHD8(%),,,UHD9(%),,,UHD10(%),,,UHD11(%),,,UHD12(%),,,UHD13(%),,,UHD14(%),,,UHD15(%),,,UHD16(%),,,UHD17(%),,,UHD18(%),,,UHD19(%),,,UHD20(%),,,UHD21(%),,,UHD22(%),,,UHD23(%),,,UHD24(%),,,UHD25(%),,,UHD26(%),,,UHD27(%),,,UHD28(%),,,UHD29(%),,,UHD30(%),,,UHD31(%),,,UHD32(%),,,UHD33(%),,,UHD34(%),,,UHD35(%),,,UHD36(%),,,UHD37(%),,,UHD38(%),,,UHD39(%),,,UHD40(%),,,UHD41(%),,,UHD42(%),,,UHD43(%),,,UHD44(%),,,UHD45(%),,,UHD46(%),,,UHD47(%),,,UHD48(%),,,UHD49(%),,,UHD50(%),,,UHD51(%),,,
Date,Time,UTHDA,UTHDB,UTHDC,UHD2A,UHD2B,UHD2C,UHD3A,UHD3B,UHD3C,UHD4A,UHD4B,UHD4C,UHD5A,UHD5B,UHD5C,UHD6A,UHD6B,UHD6C,UHD7A,UHD7B,UHD7C,UHD8A,UHD8B,UHD8C,UHD9A,UHD9B,UHD9C,UHD10A,UHD10B,UHD10C,UHD11A,UHD11B,UHD11C,UHD12A,UHD12B,UHD12C,UHD13A,UHD13B,UHD13C,UHD14A,UHD14B,UHD14C,UHD15A,UHD15B,UHD15C,UHD16A,UHD16B,UHD16C,UHD17A,UHD17B,UHD17C,UHD18A,UHD18B,UHD18C,UHD19A,UHD19B,UHD19C,UHD20A,UHD20B,UHD20C,UHD21A,UHD21B,UHD21C,UHD22A,UHD22BB,UHD22C,UHD23A,UHD23B,UHD23C,UHD24A,UHD24B,UHD24C,UHD25A,UHD25B,UHD25C,UHD26A,UHD26B,UHD26C,UHD27A,UHD27B,UHD27C,UHD28A,UHD28B,UHD28C,UHD29A,UHD29B,UHD29C,UHD30A,UHD30B,UHD30C,UHD31A,UHD31B,UHD31C,UHD32A,UHD32B,UHD32C,UHD33A,UHD33B,UHD33C,UHD34A,UHD34B,UHD34C,UHD35A,UHD35B,UHD35C,UHD36A,UHD36B,UHD36C,UHD37A,UHD37B,UHD37C,UHD38A,UHD38B,UHD38C,UHD39A,UHD39B,UHD39C,UHD40A,UHD40B,UHD40C,UHD41A,UHD41B,UHD41C,UHD42A,UHD42B,UHD42C,UHD43A,UHD43B,UHD43C,UHD44A,UHD44B,UHD44C,UHD45A,UHD45B,UHD45C,UHD46A,UHD46B,UHD46CUHD47A,UHD47B,UHD47C,UHD48A,UHD48B,UHD48C,UHD49A,UHD49B,UHD49C,UHD50A,UHD50B,UHD50C,UHD51A,UHD51B,UHD51C,
2022-04-03,00:00:00,2.483,2.852,2.801,0.026,0.020,0.046,0.454,0.063,0.567,0.009,0.045,0.035,1.978,2.536,2.285,0.060,0.080,0.028,1.266,1.180,1.323,0.011,0.026,0.033,0.524,0.427,0.315,0.019,0.019,0.022,0.335,0.179,0.587,0.030,0.015,0.026,0.127,0.182,0.254,0.005,0.008,0.014,0.084,0.081,0.040,0.015,0.020,0.005,0.084,0.128,0.162,0.012,0.005,0.016,0.060,0.077,0.074,0.003,0.007,0.009,0.043,0.019,0.015,0.007,0.017,0.013,0.057,0.040,0.006,0.015,0.021,0.005,0.013,0.023,0.029,0.022,0.029,0.010,0.013,0.026,0.010,0.051,0.047,0.006,0.079,0.082,0.014,0.030,0.022,0.011,0.011,0.027,0.025,0.021,0.024,0.007,0.018,0.034,0.019,0.008,0.016,0.013,0.007,0.008,0.005,0.005,0.008,0.009,0.026,0.017,0.002,0.004,0.004,0.002,0.019,0.012,0.004,0.009,0.010,0.001,0.014,0.013,0.007,0.004,0.004,0.005,0.011,0.006,0.011,0.005,0.004,0.005,0.010,0.009,0.003,0.004,0.003,0.010,0.016,0.008,0.003,0.007,0.003,0.006,0.013,0.007,0.010,0.004,0.003,0.004,0.001,0.008,0.004,
2022-04-03,00:01:00,2.489,2.777,2.862,0.041,0.017,0.052,0.508,0.093,0.550,0.017,0.037,0.028,2.021,2.520,2.442,0.047,0.060,0.008,1.223,1.067,1.280,0.017,0.027,0.017,0.498,0.387,0.264,0.019,0.026,0.018,0.223,0.078,0.351,0.034,0.029,0.030,0.097,0.101,0.227,0.005,0.009,0.015,0.102,0.071,0.026,0.026,0.021,0.014,0.031,0.089,0.115,0.020,0.021,0.011,0.093,0.089,0.100,0.008,0.008,0.006,0.039,0.013,0.019,0.014,0.008,0.013,0.004,0.029,0.040,0.004,0.006,0.001,0.024,0.026,0.044,0.002,0.028,0.022,0.036,0.054,0.043,0.057,0.052,0.017,0.094,0.060,0.046,0.043,0.045,0.016,0.056,0.056,0.028,0.016,0.026,0.015,0.008,0.017,0.009,0.011,0.002,0.009,0.014,0.019,0.008,0.008,0.010,0.006,0.006,0.013,0.018,0.013,0.010,0.007,0.019,0.006,0.015,0.008,0.008,0.008,0.023,0.011,0.005,0.001,0.003,0.001,0.013,0.004,0.011,0.006,0.004,0.009,0.008,0.014,0.005,0.005,0.004,0.006,0.011,0.004,0.002,0.010,0.012,0.014,0.010,0.019,0.007,0.006,0.003,0.007,0.001,0.006,0.006,
2022-04-03,00:02:00,2.516,2.625,2.564,0.039,0.054,0.049,0.393,0.239,0.478,0.007,0.042,0.045,2.069,2.308,2.150,0.055,0.035,0.019,1.261,1.165,1.172,0.023,0.017,0.025,0.409,0.214,0.210,0.032,0.016,0.017,0.278,0.154,0.474,0.029,0.031,0.028,0.105,0.165,0.218,0.005,0.008,0.009,0.111,0.051,0.027,0.002,0.009,0.007,0.061,0.093,0.119,0.007,0.002,0.003,0.056,0.099,0.063,0.004,0.009,0.004,0.038,0.012,0.035,0.012,0.005,0.015,0.051,0.040,0.021,0.013,0.005,0.008,0.024,0.023,0.021,0.021,0.030,0.017,0.033,0.055,0.014,0.054,0.041,0.017,0.104,0.085,0.037,0.010,0.038,0.012,0.047,0.030,0.012,0.019,0.019,0.017,0.024,0.015,0.004,0.014,0.004,0.015,0.016,0.022,0.017,0.002,0.004,0.007,0.007,0.011,0.001,0.004,0.005,0.004,0.020,0.005,0.011,0.006,0.006,0.001,0.016,0.020,0.004,0.010,0.003,0.008,0.006,0.007,0.002,0.007,0.005,0.007,0.005,0.015,0.005,0.005,0.004,0.004,0.013,0.005,0.004,0.003,0.002,0.009,0.009,0.015,0.017,0.003,0.009,0.009,0.010,0.005,0.010,
2022-04-03,00:03:00,2.616,2.874,2.910,0.023,0.030,0.018,0.535,0.198,0.425,0.022,0.052,0.036,2.155,2.603,2.483,0.024,0.053,0.042,1.208,1.072,1.333,0.009,0.023,0.026,0.566,0.453,0.280,0.004,0.015,0.010,0.285,0.148,0.447,0.007,0.010,0.004,0.069,0.134,0.195,0.003,0.011,0.017,0.111,0.102,0.045,0.013,0.011,0.016,0.048,0.037,0.090,0.018,0.023,0.009,0.078,0.080,0.096,0.007,0.013,0.017,0.035,0.024,0.012,0.012,0.009,0.006,0.012,0.029,0.035,0.005,0.012,0.006,0.026,0.010,0.020,0.009,0.030,0.017,0.025,0.037,0.016,0.057,0.040,0.021,0.116,0.099,0.031,0.034,0.039,0.006,0.045,0.026,0.019,0.018,0.019,0.012,0.020,0.010,0.013,0.008,0.015,0.016,0.030,0.021,0.011,0.009,0.002,0.010,0.011,0.015,0.006,0.006,0.016,0.005,0.010,0.003,0.015,0.007,0.009,0.004,0.016,0.013,0.001,0.011,0.010,0.007,0.006,0.006,0.004,0.004,0.011,0.008,0.009,0.017,0.007,0.007,0.003,0.004,0.009,0.005,0.014,0.007,0.014,0.011,0.001,0.009,0.010,0.001,0.010,0.012,0.013,0.005,0.002,
2022-04-03,00:04:00,2.509,2.742,2.916,0.041,0.035,0.076,0.375,0.100,0.501,0.022,0.059,0.049,2.060,2.485,2.489,0.036,0.047,0.014,1.244,1.080,1.291,0.012,0.013,0.021,0.477,0.316,0.273,0.012,0.013,0.013,0.292,0.111,0.475,0.011,0.019,0.015,0.081,0.113,0.217,0.005,0.004,0.009,0.106,0.060,0.030,0.024,0.021,0.013,0.070,0.137,0.140,0.007,0.015,0.008,0.055,0.062,0.068,0.011,0.012,0.006,0.034,0.028,0.015,0.014,0.009,0.006,0.021,0.028,0.027,0.007,0.007,0.013,0.016,0.029,0.025,0.004,0.028,0.027,0.037,0.023,0.021,0.044,0.019,0.034,0.084,0.055,0.048,0.029,0.024,0.008,0.053,0.037,0.024,0.020,0.018,0.010,0.009,0.015,0.015,0.004,0.007,0.003,0.017,0.021,0.007,0.007,0.008,0.003,0.007,0.007,0.022,0.008,0.003,0.004,0.018,0.007,0.021,0.005,0.005,0.006,0.024,0.023,0.007,0.003,0.003,0.006,0.012,0.002,0.010,0.007,0.005,0.003,0.012,0.014,0.008,0.006,0.004,0.002,0.011,0.007,0.005,0.006,0.015,0.009,0.013,0.011,0.006,0.002,0.005,0.008,0.007,0.003,0.003,
2022-04-03,00:05:00,2.434,2.827,2.900,0.059,0.036,0.070,0.374,0.055,0.432,0.035,0.061,0.031,1.911,2.500,2.360,0.018,0.061,0.047,1.329,1.195,1.456,0.010,0.022,0.021,0.492,0.410,0.328,0.008,0.005,0.004,0.285,0.205,0.563,0.006,0.016,0.009,0.091,0.200,0.253,0.006,0.005,0.003,0.114,0.122,0.061,0.011,0.015,0.012,0.041,0.112,0.129,0.006,0.006,0.008,0.074,0.109,0.107,0.011,0.020,0.011,0.050,0.034,0.014,0.009,0.006,0.011,0.042,0.034,0.011,0.014,0.010,0.006,0.013,0.035,0.024,0.008,0.016,0.004,0.016,0.029,0.014,0.026,0.034,0.018,0.008,0.023,0.014,0.014,0.011,0.001,0.029,0.030,0.024,0.013,0.012,0.005,0.009,0.029,0.022,0.016,0.013,0.011,0.024,0.024,0.024,0.008,0.007,0.007,0.023,0.015,0.013,0.005,0.004,0.003,0.013,0.007,0.006,0.005,0.002,0.006,0.019,0.013,0.006,0.003,0.003,0.005,0.008,0.010,0.013,0.006,0.002,0.009,0.010,0.013,0.004,0.008,0.005,0.007,0.016,0.007,0.009,0.006,0.006,0.005,0.007,0.004,0.004,0.004,0.004,0.003,0.008,0.004,0.005,
2022-04-03,00:06:00,2.602,2.855,2.942,0.018,0.039,0.033,0.401,0.080,0.486,0.032,0.047,0.040,2.113,2.566,2.481,0.028,0.042,0.039,1.335,1.181,1.377,0.021,0.044,0.030,0.492,0.327,0.318,0.008,0.011,0.003,0.284,0.098,0.439,0.013,0.006,0.011,0.071,0.116,0.225,0.011,0.006,0.009,0.095,0.064,0.018,0.017,0.014,0.007,0.014,0.052,0.079,0.004,0.009,0.004,0.098,0.094,0.082,0.007,0.011,0.010,0.048,0.009,0.034,0.011,0.005,0.010,0.037,0.046,0.036,0.012,0.012,0.016,0.027,0.018,0.019,0.008,0.005,0.004,0.004,0.029,0.016,0.028,0.041,0.017,0.058,0.051,0.031,0.004,0.010,0.008,0.017,0.009,0.011,0.005,0.011,0.007,0.008,0.024,0.019,0.008,0.007,0.010,0.013,0.016,0.006,0.003,0.003,0.004,0.021,0.016,0.003,0.003,0.003,0.007,0.017,0.002,0.008,0.006,0.007,0.002,0.009,0.012,0.006,0.003,0.004,0.002,0.006,0.006,0.007,0.007,0.005,0.001,0.002,0.011,0.007,0.008,0.001,0.004,0.008,0.009,0.000,0.008,0.005,0.014,0.010,0.011,0.009,0.007,0.012,0.005,0.007,0.001,0.011,
2022-04-03,00:07:00,2.554,2.642,2.898,0.045,0.014,0.038,0.430,0.176,0.612,0.028,0.046,0.045,1.953,2.285,2.345,0.039,0.074,0.049,1.432,1.248,1.397,0.013,0.021,0.021,0.518,0.290,0.354,0.025,0.014,0.029,0.398,0.114,0.578,0.002,0.012,0.008,0.066,0.181,0.283,0.009,0.013,0.020,0.112,0.050,0.019,0.010,0.007,0.011,0.020,0.058,0.089,0.011,0.011,0.008,0.102,0.116,0.103,0.004,0.007,0.004,0.029,0.011,0.009,0.012,0.007,0.002,0.044,0.027,0.016,0.018,0.012,0.016,0.010,0.029,0.034,0.007,0.012,0.005,0.002,0.024,0.018,0.021,0.032,0.018,0.076,0.075,0.034,0.017,0.021,0.007,0.040,0.026,0.019,0.008,0.007,0.005,0.003,0.012,0.003,0.007,0.009,0.009,0.008,0.011,0.009,0.006,0.009,0.004,0.015,0.009,0.008,0.002,0.011,0.007,0.015,0.005,0.006,0.006,0.004,0.001,0.023,0.016,0.003,0.006,0.002,0.004,0.004,0.000,0.002,0.005,0.004,0.002,0.013,0.009,0.004,0.005,0.004,0.006,0.009,0.003,0.005,0.008,0.012,0.004,0.008,0.007,0.005,0.007,0.001,0.010,0.012,0.004,0.008,
2022-04-03,00:08:00,2.618,2.582,2.859,0.046,0.038,0.026,0.475,0.151,0.601,0.017,0.050,0.039,2.079,2.277,2.386,0.059,0.067,0.008,1.368,1.156,1.311,0.011,0.030,0.026,0.477,0.236,0.286,0.005,0.007,0.002,0.383,0.039,0.471,0.011,0.009,0.004,0.090,0.096,0.240,0.015,0.005,0.018,0.098,0.030,0.023,0.011,0.016,0.027,0.077,0.105,0.142,0.014,0.008,0.005,0.095,0.108,0.103,0.007,0.017,0.012,0.043,0.026,0.007,0.009,0.005,0.011,0.036,0.020,0.017,0.015,0.018,0.005,0.006,0.015,0.014,0.010,0.016,0.014,0.019,0.032,0.017,0.041,0.047,0.014,0.111,0.113,0.021,0.030,0.039,0.003,0.035,0.034,0.006,0.009,0.009,0.003,0.002,0.002,0.012,0.005,0.015,0.017,0.012,0.011,0.014,0.004,0.003,0.002,0.012,0.009,0.017,0.002,0.001,0.010,0.014,0.004,0.008,0.003,0.007,0.010,0.022,0.017,0.002,0.007,0.005,0.005,0.008,0.005,0.008,0.003,0.004,0.004,0.009,0.009,0.004,0.003,0.007,0.008,0.003,0.002,0.008,0.013,0.010,0.002,0.005,0.009,0.003,0.006,0.002,0.006,0.012,0.002,0.011,
