ProductSN:3421198001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date&Time;;Voltage(V);;;;;UTHD(%);;;;Current(A);;;;;ITHD(%);;;;Frequency(Hz);;;;Power Factor;;;;Active Power(W);;;;Reactive Power(Var);;;;Apparent Power(Va);;;;Active Energy(Wh);;;;Reactive Energy(Varh);;;;Apparent Energy(Vah);;;;Current Demand(A);;;;Current Peak Demand(A)&Date;;;;;;;;Total Active Power Deamnd(W);Total Active Power Peak Deamnd(W)&Date;;Total Reactive Power Deamnd(Var);Total Reactive Power Peak Deamnd(Var)&Date;;Total Apparent Power Deamnd(Va);Total Apparent Power Peak Deamnd(Va)&Date;
Date;Time;UA;UB;UC;UAvg;UN;UTHDA;UTHDB;UTHDC;UTHDAvg;IA;IB;IC;IAvg;IN;ITHDA;ITHDB;ITHDC;ITHDAvg;FA;FB;FC;FAvg;PFA;PFB;PFC;PFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA;EPB;EPC;EPSum;EQA;EQB;EQC;EQSum;ESA;ESB;ESC;ESSum;DmIA;DmIB;DmIC;DmIAVG;PDmIA;PDmIA_D/T;PDmIB;PDmIB_D/T;PDmIC;PDmIC_D/T;PDmIAVG;PDmIAVG_D/T;DmP;PDmP;PDmP_D/T;DmQ;PDmQ;PDmQ_D/T;DmS;PDmS;PDmS_D/T
28/03/2022;00:00:00;129.7;128.93;125.15;127.93;0;2.137;2.389;2.665;2.397;62.48;69.14;73.45;68.36;2.82;4.4;5.558;4.217;4.725;59.97;59.98;59.97;59.97;-0.955;-0.883;-0.946;-0.928;-7729.41;-7876.69;-8699.76;-24305.86;2359.3;4112.78;2876.33;9348.41;8102.3;8912.84;9188.33;26203.48;1280;0;1189;2469;59744;94917;61612;216273;197628;225301;218378;641307;87.47;95.32;96.68;93.16;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-33021.51;0;2000-00-00 00:00:00;12433.35;16111.48;27/03/2022 23:51;35459.81;39567.02;27/03/2022 23:53
28/03/2022;00:01:00;129.31;128.67;124.72;127.57;0;2.055;2.295;2.517;2.289;64.99;70.88;76.5;70.79;2.62;4.374;5.409;4.337;4.707;59.96;59.96;59.95;59.96;-0.961;-0.888;-0.949;-0.931;-8070.01;-8086.72;-9045.34;-25202.07;2261.92;4153.82;2979.25;9394.99;8402.43;9117.67;9541.23;27061.33;1280;0;1189;2469;59782;94986;61662;216430;197766;225451;218535;641752;83.66;90.46;93.7;89.27;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-31772.48;0;2000-00-00 00:00:00;11696.27;16111.48;27/03/2022 23:51;34024.54;39567.02;27/03/2022 23:53
28/03/2022;00:02:00;129.79;129.12;124.52;127.81;0;2.258;2.335;2.677;2.423;64.5;69.04;76.38;69.98;2.69;4.384;5.353;4.606;4.781;60;60;60;60;-0.971;-0.888;-0.951;-0.937;-8136.24;-7934.65;-9038.93;-25109.82;1979.55;3998.53;2913.58;8891.66;8374.64;8912.81;9509.73;26797.18;1280;0;1189;2469;59818;95056;61712;216586;197906;225601;218694;642201;79.94;85.56;90.74;85.41;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-30516.82;0;2000-00-00 00:00:00;10968;16111.48;27/03/2022 23:51;32588.83;39567.02;27/03/2022 23:53
28/03/2022;00:03:00;130.09;129.53;124.65;128.09;0;2.363;2.414;2.86;2.546;62.57;67.34;74.51;68.14;2.83;4.613;6.056;4.683;5.117;59.98;59.98;59.98;59.98;-0.967;-0.883;-0.947;-0.931;-7864.32;-7694.07;-8776.96;-24335.36;2026.86;4055.02;2938.97;9020.85;8139.29;8722.12;9283.8;26145.22;1280;0;1189;2469;59850;95122;61759;216731;198043;225748;218850;642641;76.42;81.15;87.77;81.78;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-29305.2;0;2000-00-00 00:00:00;10345.6;16111.48;27/03/2022 23:51;31234.49;39567.02;27/03/2022 23:53
28/03/2022;00:04:00;130.12;129.74;124.84;128.23;0;2.326;2.421;2.74;2.496;65.84;69.42;76.33;70.53;2.71;4.748;5.535;4.318;4.867;60.06;60.07;60.07;60.07;-0.958;-0.875;-0.933;-0.923;-8221.55;-7888.12;-8901.72;-25011.39;2428.24;4310.52;3412.33;10151.09;8569.34;9007.46;9533.32;27110.12;1280;0;1189;2469;59885;95189;61810;216884;198180;225894;219005;643079;75.09;79.89;86.45;80.48;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-28822.59;0;2000-00-00 00:00:00;10250.77;16111.48;27/03/2022 23:51;30748.01;39567.02;27/03/2022 23:53
28/03/2022;00:05:00;129.26;129.03;124.8;127.7;0;2.265;2.487;2.713;2.489;88.17;87.66;99.02;91.62;2.82;4.409;5.042;4.26;4.57;60.1;60.1;60.1;60.1;-0.972;-0.907;-0.937;-0.939;-11083.8;-10244.66;-11585.88;-32914.34;2620.82;4685.26;4240.37;11546.45;11399.72;11307.56;12357.14;35064.41;1280;0;1189;2469;59928;95266;61879;217073;198365;226076;219205;643646;73.62;78.33;84.93;78.96;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-28262.93;0;2000-00-00 00:00:00;10154.4;16111.48;27/03/2022 23:51;30190.48;39567.02;27/03/2022 23:53
28/03/2022;00:06:00;129.14;129.1;124.82;127.69;0;2.321;2.6;2.727;2.549;90.09;88.48;99.91;92.83;2.89;4.655;5.346;4.292;4.764;60.04;60.03;60.04;60.04;-0.976;-0.919;-0.942;-0.945;-11360.61;-10482.76;-11744.44;-33587.8;2458.61;4427.37;4108.03;10994.01;11635.82;11420.14;12467.97;35523.93;1280;0;1189;2469;59970;95342;61948;217260;198559;226268;219414;644241;73.25;77.62;84.51;78.46;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-28099.99;0;2000-00-00 00:00:00;10070.88;16111.48;27/03/2022 23:51;30011.31;39567.02;27/03/2022 23:53
28/03/2022;00:07:00;128.88;128.99;124.74;127.54;0;2.315;2.533;2.694;2.514;89.54;87.83;98.72;92.03;2.72;4.601;5.331;4.404;4.779;60.05;60.06;60.06;60.06;-0.976;-0.922;-0.941;-0.947;-11250.71;-10458.26;-11612.34;-33321.3;2457.25;4340.85;4033.53;10831.64;11539.75;11332.43;12314.97;35187.15;1280;0;1189;2469;60011;95416;62016;217443;198752;226457;219621;644830;72.82;76.79;83.92;77.84;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-27899.68;0;2000-00-00 00:00:00;9974.71;16111.48;27/03/2022 23:51;29791.72;39567.02;27/03/2022 23:53
28/03/2022;00:08:00;128.98;128.78;124.23;127.33;0;2.374;2.409;2.554;2.446;88.72;86.36;100.09;91.72;2.74;5.251;6.175;5.1;5.509;60.03;60.03;60.03;60.03;-0.98;-0.913;-0.942;-0.946;-11181.36;-10179.73;-11748.76;-33109.85;2166.71;4459.8;4056.38;10682.9;11439.86;11125.74;12436;35001.61;1280;0;1189;2469;60051;95490;62083;217624;198943;226647;219828;645418;72.63;76.46;83.59;77.56;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-27811.31;0;2000-00-00 00:00:00;9935.64;16111.48;27/03/2022 23:51;29694.5;39567.02;27/03/2022 23:53
28/03/2022;00:09:00;128.92;128.8;124.49;127.4;0;2.348;2.465;2.539;2.45;89.34;86.98;99.09;91.8;2.87;4.957;5.574;4.458;4.996;59.98;59.98;59.97;59.98;-0.977;-0.919;-0.943;-0.947;-11264.2;-10281.58;-11656.15;-33201.92;2301.57;4331.56;4035.96;10669.09;11517.23;11199.7;12339.77;35056.7;1280;0;1189;2469;60090;95563;62150;217803;199133;226834;220034;646001;74.35;77.48;85.41;79.08;97.74;27/03/2022 23:53;115.41;27/03/2022 23:51;103.52;27/03/2022 23:56;104.24;27/03/2022 23:53;-28389.27;0;2000-00-00 00:00:00;10011.22;16111.48;27/03/2022 23:51;30270;39567.02;27/03/2022 23:53
