ProductSN:3421198001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date&Time;;Voltage(V);;;;;UTHD(%);;;;Current(A);;;;;ITHD(%);;;;Frequency(Hz);;;;Power Factor;;;;Active Power(W);;;;Reactive Power(Var);;;;Apparent Power(Va);;;;Active Energy(Wh);;;;Reactive Energy(Varh);;;;Apparent Energy(Vah);;;;Current Demand(A);;;;Current Peak Demand(A)&Date;;;;;;;;Total Active Power Deamnd(W);Total Active Power Peak Deamnd(W)&Date;;Total Reactive Power Deamnd(Var);Total Reactive Power Peak Deamnd(Var)&Date;;Total Apparent Power Deamnd(Va);Total Apparent Power Peak Deamnd(Va)&Date;
Date;Time;UA;UB;UC;UAvg;UN;UTHDA;UTHDB;UTHDC;UTHDAvg;IA;IB;IC;IAvg;IN;ITHDA;ITHDB;ITHDC;ITHDAvg;FA;FB;FC;FAvg;PFA;PFB;PFC;PFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA;EPB;EPC;EPSum;EQA;EQB;EQC;EQSum;ESA;ESB;ESC;ESSum;DmIA;DmIB;DmIC;DmIAVG;PDmIA;PDmIA_D/T;PDmIB;PDmIB_D/T;PDmIC;PDmIC_D/T;PDmIAVG;PDmIAVG_D/T;DmP;PDmP;PDmP_D/T;DmQ;PDmQ;PDmQ_D/T;DmS;PDmS;PDmS_D/T
29/03/2022;00:00:00;125.14;125.85;122.68;124.56;0;2.312;2.403;2.098;2.271;186;179.32;188.19;184.5;2.62;3.721;4.073;3.638;3.81;59.99;59.98;59.98;59.98;-0.942;-0.912;-0.899;-0.913;-21824.75;-20515.99;-20587.28;-62928.02;7830.59;9201.75;10257.47;27289.81;23266.67;22558.5;23074.48;68899.66;1280;0;1189;2469;164124;237083;186942;588149;493643;536784;532302;1562729;152.49;150.63;155.67;152.93;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-53499.26;0;2000-00-00 00:00:00;21436.85;44847.04;28/03/2022 18:55;57813.7;91039.47;28/03/2022 18:55
29/03/2022;00:01:00;124.95;125.44;122.65;124.35;0;2.32;2.299;2.209;2.276;186.99;187.09;190.6;188.23;2.71;3.69;4.259;3.807;3.919;59.98;59.97;59.97;59.97;-0.934;-0.908;-0.895;-0.915;-21851.69;-21340.4;-21031.49;-64223.57;8169.38;9731.97;10089.19;27990.54;23363.1;23473.29;23374.06;70210.45;1280;0;1189;2469;164255;237238;187109;588602;494028;537164;532684;1563876;156.55;154.29;159.63;156.83;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-54638.9;0;2000-00-00 00:00:00;22213.05;44847.04;28/03/2022 18:55;59159.89;91039.47;28/03/2022 18:55
29/03/2022;00:02:00;125.83;126.5;123.13;125.15;0;2.477;2.319;2.275;2.357;180.35;175.38;182.82;179.52;2.75;3.899;4.415;3.86;4.058;60.03;60.03;60.04;60.03;-0.949;-0.92;-0.901;-0.925;-21550.26;-20395.37;-20382.57;-62328.2;6963.3;8626.58;9481.98;25071.86;22692.88;22182.93;22509.58;67385.39;1280;0;1189;2469;164384;237390;187272;589046;494414;537546;533066;1565026;161.29;158.72;164.11;161.37;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-56013.51;0;2000-00-00 00:00:00;23090.24;44847.04;28/03/2022 18:55;60763.66;91039.47;28/03/2022 18:55
29/03/2022;00:03:00;125.78;126.49;123;125.09;0;2.331;2.206;2.145;2.227;179;173.67;182.29;178.32;2.56;3.882;4.804;4.086;4.257;60.01;60.02;60.02;60.02;-0.954;-0.922;-0.908;-0.929;-21457.27;-20303.4;-20368.94;-62129.61;6674.67;8431.98;9252.67;24359.32;22515.32;21978.2;22415.83;66909.34;1280;0;1189;2469;164517;237547;187452;589516;494845;537961;533489;1566295;167.99;164.75;170.5;167.75;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-58068.68;0;2000-00-00 00:00:00;24013.35;44847.04;28/03/2022 18:55;63028.45;91039.47;28/03/2022 18:55
29/03/2022;00:04:00;125.94;127.14;123.57;125.55;0;2.469;2.595;2.072;2.379;164.03;155.27;158.62;159.31;2.79;4.225;4.219;4.712;4.385;59.99;59.98;59.98;59.99;-0.946;-0.927;-0.9;-0.921;-19513.67;-18328.44;-17437.49;-55279.6;6700.4;7243.01;8831.16;22774.57;20659.74;19738.5;19597.49;59995.73;1280;0;1189;2469;164624;237673;187594;589891;495187;538296;533822;1567305;169.4;166.05;171.71;169.05;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-58466.38;0;2000-00-00 00:00:00;24229.22;44847.04;28/03/2022 18:55;63478.04;91039.47;28/03/2022 18:55
29/03/2022;00:05:00;126.36;127.27;123.95;125.86;0;2.512;2.675;2.268;2.485;138.02;140.22;136.76;138.33;2.49;4.491;4.449;4.665;4.535;59.97;59.96;59.96;59.96;-0.932;-0.913;-0.897;-0.914;-16226.12;-16303.67;-15242.96;-47772.75;6317;7186.57;7384.24;20887.82;17438.81;17848;16953.89;52240.7;1280;0;1189;2469;164730;237794;187724;590248;495494;538604;534120;1568218;170.58;167.24;172.41;170.08;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-58728.45;0;2000-00-00 00:00:00;24492.6;44847.04;28/03/2022 18:55;63818.75;91039.47;28/03/2022 18:55
29/03/2022;00:06:00;126.63;127.35;123.72;125.9;0;2.448;2.54;2.25;2.413;135.44;138.12;137.47;137.01;2.65;4.398;4.885;4.825;4.703;59.93;59.94;59.93;59.94;-0.936;-0.909;-0.899;-0.916;-16106.65;-15987.83;-15318.53;-47413.01;5927.64;7246.66;7296.28;20470.58;17158;17587.06;17006.8;51751.87;1280;0;1189;2469;164833;237914;187847;590594;495784;538899;534403;1569086;169.37;166.51;171.13;169;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-58313.61;0;2000-00-00 00:00:00;24410.01;44847.04;28/03/2022 18:55;63403.37;91039.47;28/03/2022 18:55
29/03/2022;00:07:00;126.88;127.52;124.14;126.18;0;2.364;2.505;2.22;2.363;129.4;133.51;131.04;131.32;2.57;4.069;4.212;4.438;4.24;59.97;59.98;59.97;59.97;-0.931;-0.905;-0.898;-0.912;-15299.85;-15380.54;-14669.49;-45349.88;5912.24;7169.84;7058.34;20140.42;16421.41;17018.61;16273.87;49713.88;1280;0;1189;2469;164936;238037;187974;590947;496075;539195;534691;1569961;168.41;165.78;170.21;168.13;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-57949.58;0;2000-00-00 00:00:00;24381.3;44847.04;28/03/2022 18:55;63062.34;91039.47;28/03/2022 18:55
29/03/2022;00:08:00;127.01;127.5;124.22;126.24;0;2.478;2.53;2.359;2.456;119.53;126.5;120.7;122.24;2.62;4.271;4.272;4.404;4.315;59.95;59.96;59.96;59.95;-0.924;-0.902;-0.903;-0.911;-14072.59;-14573.45;-13550.58;-42196.63;5772.92;6871.52;6411.4;19055.84;15185.29;16132.17;14998.06;46315.52;1280;0;1189;2469;165035;238156;188089;591280;496346;539477;534959;1570782;167.4;164.98;169.11;167.16;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-57577.3;0;2000-00-00 00:00:00;24310.56;44847.04;28/03/2022 18:55;62690.29;91039.47;28/03/2022 18:55
