ProductSN:3421198001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date&Time;;Voltage(V);;;;;UTHD(%);;;;Current(A);;;;;ITHD(%);;;;Frequency(Hz);;;;Power Factor;;;;Active Power(W);;;;Reactive Power(Var);;;;Apparent Power(Va);;;;Active Energy(Wh);;;;Reactive Energy(Varh);;;;Apparent Energy(Vah);;;;Current Demand(A);;;;Current Peak Demand(A)&Date;;;;;;;;Total Active Power Deamnd(W);Total Active Power Peak Deamnd(W)&Date;;Total Reactive Power Deamnd(Var);Total Reactive Power Peak Deamnd(Var)&Date;;Total Apparent Power Deamnd(Va);Total Apparent Power Peak Deamnd(Va)&Date;
Date;Time;UA;UB;UC;UAvg;UN;UTHDA;UTHDB;UTHDC;UTHDAvg;IA;IB;IC;IAvg;IN;ITHDA;ITHDB;ITHDC;ITHDAvg;FA;FB;FC;FAvg;PFA;PFB;PFC;PFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA;EPB;EPC;EPSum;EQA;EQB;EQC;EQSum;ESA;ESB;ESC;ESSum;DmIA;DmIB;DmIC;DmIAVG;PDmIA;PDmIA_D/T;PDmIB;PDmIB_D/T;PDmIC;PDmIC_D/T;PDmIAVG;PDmIAVG_D/T;DmP;PDmP;PDmP_D/T;DmQ;PDmQ;PDmQ_D/T;DmS;PDmS;PDmS_D/T
02/04/2022;00:00:00;124.73;126.53;123.82;125.03;0;1.687;1.972;1.931;1.863;185.51;210.37;210.68;202.18;2.59;3.653;3.682;2.79;3.375;59.99;59.99;60;59.99;-0.94;-0.901;-0.937;-0.926;-21743.41;-24002.64;-24458.83;-70204.88;7789.81;11422.02;8956.24;28168.07;23135.98;26617;26084.31;75837.3;1281;0;1308;2589;781519;1041069;970300;2792888;2130623;2226818;2271324;6628765;200.88;222.63;222.44;215.32;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-73195.16;0;2000-00-00 00:00:00;33094.02;44847.04;28/03/2022 18:55;80484.2;91039.47;28/03/2022 18:55
02/04/2022;00:01:00;124.59;126.82;124.02;125.15;0;1.723;2.119;2.088;1.977;185.43;216.43;215.48;205.78;3.08;3.431;3.191;2.567;3.063;60.01;59.99;60;60;-0.93;-0.889;-0.934;-0.916;-21449.51;-24378.99;-24959.19;-70787.7;8403.55;12625.56;9446.19;30475.3;23099.77;27450.52;26723.3;77273.59;1281;0;1308;2589;781652;1041269;970450;2793371;2130997;2227260;2271754;6630011;197.27;220.27;219.85;212.46;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-72334.36;0;2000-00-00 00:00:00;32473.34;44847.04;28/03/2022 18:55;79446.43;91039.47;28/03/2022 18:55
02/04/2022;00:02:00;124.71;126.58;123.56;124.95;0;1.79;2.083;2.075;1.983;189.92;215.17;214.07;206.38;2.71;3.374;3.247;2.642;3.088;60.05;60.05;60.06;60.05;-0.926;-0.895;-0.922;-0.915;-21906.08;-24392.08;-24459.19;-70757.35;8889.12;12050.34;9963.32;30902.78;23682.92;27234.49;26446.21;77363.62;1281;0;1308;2589;781799;1041471;970610;2793880;2131386;2227711;2272188;6631285;195.28;218.92;218.32;210.84;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-71838.19;0;2000-00-00 00:00:00;32161.68;44847.04;28/03/2022 18:55;78866.56;91039.47;28/03/2022 18:55
02/04/2022;00:03:00;124.65;126.19;123.56;124.8;0;1.681;2.212;2.211;2.035;186.28;214.27;207.29;202.61;2.69;3.526;3.067;2.642;3.078;60.03;60.04;60.03;60.03;-0.921;-0.893;-0.93;-0.914;-21392.91;-24159.39;-23793.31;-69345.62;9016.98;12044.32;9288.54;30349.84;23220.7;27038.15;25603.08;75861.94;1281;0;1308;2589;781951;1041674;970772;2794397;2131785;2228169;2272626;6632580;194.33;218.49;217.69;210.17;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-71627.66;0;2000-00-00 00:00:00;31996.86;44847.04;28/03/2022 18:55;78607.59;91039.47;28/03/2022 18:55
02/04/2022;00:04:00;124.01;125.3;122.78;124.03;0;1.744;2.115;2.09;1.983;196.31;221.18;220.55;212.68;2.58;3.371;3.248;2.679;3.099;59.99;59.99;60;59.99;-0.92;-0.878;-0.923;-0.903;-22286.26;-24327.45;-24841.07;-71454.78;9472.47;13132.62;10680.94;33286.03;24335.8;27703.76;27075.5;79115.06;1281;0;1308;2589;782105;1041888;970936;2794929;2132173;2228624;2273062;6633859;193.37;218.32;216.98;209.56;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-71397.66;0;2000-00-00 00:00:00;31868.48;44847.04;28/03/2022 18:55;78347.21;91039.47;28/03/2022 18:55
02/04/2022;00:05:00;124.25;125.42;123.04;124.24;0;1.673;2.185;2.199;2.019;190.92;221.87;216.09;209.63;2.73;3.368;3.439;2.718;3.175;60.01;60;60.01;60.01;-0.919;-0.888;-0.931;-0.912;-21794.71;-24689.99;-24779.81;-71264.52;9251.66;12816.18;9627.67;31695.52;23721.24;27830.19;26593.28;78144.71;1281;0;1308;2589;782260;1042103;971101;2795464;2132567;2229083;2273504;6635154;193.07;218.67;217.12;209.62;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-71383.52;0;2000-00-00 00:00:00;31892.53;44847.04;28/03/2022 18:55;78347.5;91039.47;28/03/2022 18:55
02/04/2022;00:06:00;122.48;124.13;121.29;122.63;0;1.611;2.025;1.912;1.849;235.75;255.87;256.2;249.28;2.63;3.243;2.919;2.456;2.873;60.01;60.01;60.01;60.01;-0.918;-0.887;-0.909;-0.905;-26519.47;-28199.75;-28286.7;-83005.92;11317.03;14566.1;12802.26;38685.39;28876.83;31764.51;31074.38;91715.72;1281;0;1308;2589;782434;1042333;971292;2796059;2133015;2229588;2273992;6636595;195.47;221.37;219.63;212.16;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-72126.95;0;2000-00-00 00:00:00;32259.77;44847.04;28/03/2022 18:55;79183.45;91039.47;28/03/2022 18:55
02/04/2022;00:07:00;123.4;125.22;121.62;123.42;0;1.691;2.024;1.768;1.828;198.41;218.16;225.15;213.9;2.75;3.453;3.695;2.964;3.371;59.99;59.99;60;59.99;-0.924;-0.864;-0.902;-0.9;-22641.29;-23807.47;-24840.74;-71289.5;9202.01;13387.83;11458.39;34048.24;24483.26;27321.68;27382.26;79187.2;1281;0;1308;2589;782599;1042560;971485;2796644;2133431;2230059;2274456;6637946;195.78;221.86;219.84;212.49;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-72190.64;0;2000-00-00 00:00:00;32307.59;44847.04;28/03/2022 18:55;79262.3;91039.47;28/03/2022 18:55
02/04/2022;00:08:00;123.56;125.34;121.74;123.55;0;1.742;2.095;1.824;1.887;201.27;222.12;225.88;216.42;2.65;3.296;3.498;2.724;3.173;59.97;59.95;59.97;59.96;-0.929;-0.876;-0.914;-0.905;-23171.45;-24464.05;-24941.65;-72577.15;9337;13114.25;11200.95;33652.2;24882.9;27829.76;27469.66;80182.33;1281;0;1308;2589;782752;1042778;971670;2797200;2133845;2230520;2274912;6639277;195.2;221.29;219.48;211.99;242.96;28/03/2022 18:55;239.85;01/04/2022 22:18;263.71;01/04/2022 22:19;246.73;28/03/2022 18:55;-71935.32;0;2000-00-00 00:00:00;32250.21;44847.04;28/03/2022 18:55;79009.91;91039.47;28/03/2022 18:55
