ProductSN:3421198001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date&Time;;Voltage(V);;;;;UTHD(%);;;;Current(A);;;;;ITHD(%);;;;Frequency(Hz);;;;Power Factor;;;;Active Power(W);;;;Reactive Power(Var);;;;Apparent Power(Va);;;;Active Energy(Wh);;;;Reactive Energy(Varh);;;;Apparent Energy(Vah);;;;Current Demand(A);;;;Current Peak Demand(A)&Date;;;;;;;;Total Active Power Deamnd(W);Total Active Power Peak Deamnd(W)&Date;;Total Reactive Power Deamnd(Var);Total Reactive Power Peak Deamnd(Var)&Date;;Total Apparent Power Deamnd(Va);Total Apparent Power Peak Deamnd(Va)&Date;
Date;Time;UA;UB;UC;UAvg;UN;UTHDA;UTHDB;UTHDC;UTHDAvg;IA;IB;IC;IAvg;IN;ITHDA;ITHDB;ITHDC;ITHDAvg;FA;FB;FC;FAvg;PFA;PFB;PFC;PFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA;EPB;EPC;EPSum;EQA;EQB;EQC;EQSum;ESA;ESB;ESC;ESSum;DmIA;DmIB;DmIC;DmIAVG;PDmIA;PDmIA_D/T;PDmIB;PDmIB_D/T;PDmIC;PDmIC_D/T;PDmIAVG;PDmIAVG_D/T;DmP;PDmP;PDmP_D/T;DmQ;PDmQ;PDmQ_D/T;DmS;PDmS;PDmS_D/T
01/04/2022;00:00:00;126.46;127.61;124.54;126.2;0;2.375;2.165;2.098;2.213;135.44;141.91;140.82;139.39;2.94;3.042;3.964;3.338;3.448;59.95;59.96;59.96;59.96;-0.914;-0.885;-0.894;-0.894;-15606.23;-16041.54;-15517.18;-47164.96;7032.9;8332.05;8148.47;23513.41;17129.43;18106.08;17538.37;52773.89;1281;0;1308;2589;629851;820212;777159;2227222;1710713;1768281;1804093;5283087;168.61;175.95;171.97;172.17;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-59125.83;0;2000-00-00 00:00:00;25859.52;44847.04;28/03/2022 18:55;64678.88;91039.47;28/03/2022 18:55
01/04/2022;00:01:00;126.91;128.28;125.43;126.87;0;2.308;2.278;2.134;2.24;121.58;132.32;131.3;128.4;3;3.532;4.404;3.608;3.848;59.97;59.97;59.96;59.97;-0.915;-0.885;-0.895;-0.899;-14114.84;-15031.41;-14790.13;-43936.38;6147.78;7899.96;7140.33;21188.07;15427.54;16977.61;16466.58;48871.73;1281;0;1308;2589;629956;820342;777277;2227575;1710973;1768566;1804365;5283904;166.56;174.13;169.73;170.14;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-58357.96;0;2000-00-00 00:00:00;25788.18;44847.04;28/03/2022 18:55;63941.52;91039.47;28/03/2022 18:55
01/04/2022;00:02:00;125.72;126.86;124.29;125.62;0;2.188;2.102;1.907;2.066;155.61;162.56;161.34;159.84;2.62;3.159;3.524;3.117;3.266;59.99;59.99;59.99;59.99;-0.921;-0.9;-0.898;-0.908;-18012.35;-18607.71;-18064.57;-54684.63;7626.39;8861.77;8684.99;25173.15;19563.42;20625.94;20054.86;60244.22;1281;0;1308;2589;630080;820487;777419;2227986;1711288;1768898;1804689;5284875;163.59;171.31;166.36;167.09;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-57151.07;0;2000-00-00 00:00:00;25845.83;44847.04;28/03/2022 18:55;62852.76;91039.47;28/03/2022 18:55
01/04/2022;00:03:00;125.79;127;124.17;125.65;0;2.162;2.215;2.011;2.129;159.38;168.31;166.38;164.69;2.72;3.382;3.879;3.55;3.604;60.04;60.04;60.04;60.04;-0.906;-0.894;-0.89;-0.898;-18234.97;-18997.93;-18465.27;-55698.16;7944.98;9340.6;9082.37;26367.95;20036.35;21335.62;20646.04;62018.01;1281;0;1308;2589;630212;820640;777574;2228426;1711622;1769250;1805035;5285907;162.05;169.53;164.85;165.47;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-56439.11;0;2000-00-00 00:00:00;26028.86;44847.04;28/03/2022 18:55;62268.83;91039.47;28/03/2022 18:55
01/04/2022;00:04:00;125.11;125.48;123.03;124.54;0;2.246;2.148;2.06;2.151;166.57;176.72;181.71;175;2.69;3.472;3.918;3.468;3.619;60.06;60.05;60.05;60.05;-0.92;-0.881;-0.899;-0.902;-19281.12;-19584.52;-20137.27;-59002.91;8095.48;10323.99;9798.13;28217.61;20850.08;22175.18;22368.65;65393.91;1281;0;1308;2589;630346;820801;777729;2228876;1711955;1769605;1805387;5286947;159.69;167.45;163.25;163.46;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-55647.81;0;2000-00-00 00:00:00;25998.25;44847.04;28/03/2022 18:55;61533.95;91039.47;28/03/2022 18:55
01/04/2022;00:05:00;123.8;124.72;122.29;123.6;0;2.034;2.024;1.792;1.95;197.02;203.58;215.84;205.48;2.56;3.224;3.632;3.261;3.372;60.05;60.05;60.05;60.05;-0.921;-0.877;-0.892;-0.893;-22409.21;-22218.87;-23324.13;-67952.22;9284.95;12026.31;11937.79;33249.05;24380.83;25369.38;26358.71;76108.92;1281;0;1308;2589;630497;820988;777916;2229401;1712348;1770015;1805804;5288167;159.72;167.59;163.85;163.72;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-55683.81;0;2000-00-00 00:00:00;26058.72;44847.04;28/03/2022 18:55;61599.75;91039.47;28/03/2022 18:55
01/04/2022;00:06:00;126.01;126.8;123.85;125.55;0;1.943;2.04;1.785;1.923;163.9;170.9;177.55;170.79;2.86;3.02;3.505;3.069;3.198;60.02;60.02;60.03;60.02;-0.928;-0.889;-0.896;-0.905;-19131.96;-19301.94;-19735.39;-58169.29;7667.14;9853.99;9568.59;27089.72;20651.13;21673.39;21983.08;64307.6;1281;0;1308;2589;630628;821154;778079;2229861;1712694;1770377;1806171;5289242;159.88;167.49;165.53;164.3;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-55741.33;0;2000-00-00 00:00:00;26295.33;44847.04;28/03/2022 18:55;61760.07;91039.47;28/03/2022 18:55
01/04/2022;00:07:00;125.61;126.27;123.73;125.2;0;1.989;2.152;1.953;2.032;168.67;177.71;177.66;174.68;2.71;3.389;3.704;3.571;3.555;59.99;59.99;59.99;59.99;-0.908;-0.882;-0.89;-0.893;-19185.18;-19821.02;-19609.51;-58615.71;8842.65;10484.06;9929.7;29256.41;21183.03;22440.07;21987.55;65610.66;1281;0;1308;2589;630770;821326;778245;2230341;1713049;1770749;1806541;5290339;156.27;163.92;163.31;161.17;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-54645.26;0;2000-00-00 00:00:00;26003.28;44847.04;28/03/2022 18:55;60632.18;91039.47;28/03/2022 18:55
01/04/2022;00:08:00;125.25;126.42;123.63;125.1;0;2.009;2.112;1.933;2.018;175.97;182.52;183.2;180.56;2.61;2.879;3.197;2.612;2.896;59.98;59.98;59.98;59.98;-0.909;-0.889;-0.883;-0.894;-20034.96;-20529.01;-20007.54;-60571.5;9219.34;10444.81;10494.95;30159.11;22042.76;23071.08;22641.79;67755.63;1281;0;1308;2589;630921;821501;778419;2230841;1713410;1771127;1806914;5291451;156.52;164.3;164.47;161.76;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-54721.95;0;2000-00-00 00:00:00;26313.08;44847.04;28/03/2022 18:55;60833.38;91039.47;28/03/2022 18:55
