ProductSN:3421198001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date&Time;;Voltage(V);;;;;UTHD(%);;;;Current(A);;;;;ITHD(%);;;;Frequency(Hz);;;;Power Factor;;;;Active Power(W);;;;Reactive Power(Var);;;;Apparent Power(Va);;;;Active Energy(Wh);;;;Reactive Energy(Varh);;;;Apparent Energy(Vah);;;;Current Demand(A);;;;Current Peak Demand(A)&Date;;;;;;;;Total Active Power Deamnd(W);Total Active Power Peak Deamnd(W)&Date;;Total Reactive Power Deamnd(Var);Total Reactive Power Peak Deamnd(Var)&Date;;Total Apparent Power Deamnd(Va);Total Apparent Power Peak Deamnd(Va)&Date;
Date;Time;UA;UB;UC;UAvg;UN;UTHDA;UTHDB;UTHDC;UTHDAvg;IA;IB;IC;IAvg;IN;ITHDA;ITHDB;ITHDC;ITHDAvg;FA;FB;FC;FAvg;PFA;PFB;PFC;PFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA;EPB;EPC;EPSum;EQA;EQB;EQC;EQSum;ESA;ESB;ESC;ESSum;DmIA;DmIB;DmIC;DmIAVG;PDmIA;PDmIA_D/T;PDmIB;PDmIB_D/T;PDmIC;PDmIC_D/T;PDmIAVG;PDmIAVG_D/T;DmP;PDmP;PDmP_D/T;DmQ;PDmQ;PDmQ_D/T;DmS;PDmS;PDmS_D/T
31/03/2022;00:00:00;126.87;128.48;125.97;127.11;0;2.128;2.525;2.158;2.271;125.89;131.03;127.93;128.29;2.63;3.735;3.645;3.99;3.79;60.01;60.02;60.02;60.02;-0.879;-0.868;-0.852;-0.866;-14006.8;-14627.47;-13750.38;-42384.66;7572.89;8294.1;8344.49;24211.48;15968.83;16835.21;16114.79;48918.83;1281;0;1308;2589;485072;627118;580133;1692323;1301434;1355506;1368404;4025344;108.77;119.31;115.98;114.68;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-38806.81;0;2000-00-00 00:00:00;20371.24;44847.04;28/03/2022 18:55;43940.14;91039.47;28/03/2022 18:55
31/03/2022;00:01:00;126.67;128.38;125.75;126.93;0;2.223;2.68;2.248;2.383;125.86;130.47;129;128.44;2.54;4.055;3.757;4.259;4.024;59.98;59.98;59.98;59.98;-0.882;-0.872;-0.856;-0.87;-14079.71;-14581.85;-13891.69;-42553.25;7402.69;8160.22;8306.71;23869.62;15940.76;16745.81;16220.95;48907.52;1281;0;1308;2589;485198;627259;580276;1692733;1301701;1355787;1368677;4026165;109.48;119.77;116.74;115.33;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39003.84;0;2000-00-00 00:00:00;20499.41;44847.04;28/03/2022 18:55;44175.55;91039.47;28/03/2022 18:55
31/03/2022;00:02:00;126.86;128.9;126.28;127.34;0;2.133;2.584;2.056;2.258;118.53;125.74;121.44;121.91;2.55;3.651;3.378;3.772;3.6;60.04;60.04;60.05;60.04;-0.868;-0.864;-0.853;-0.861;-13048.83;-14001.08;-13063.45;-40113.36;7428.5;8132.96;7997.19;23558.65;15035.85;16210.31;15335.34;46581.51;1281;0;1308;2589;485321;627395;580409;1693125;1301952;1356056;1368934;4026942;110.37;120.23;117.81;116.14;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39240.97;0;2000-00-00 00:00:00;20662.52;44847.04;28/03/2022 18:55;44463.68;91039.47;28/03/2022 18:55
31/03/2022;00:03:00;126.92;129.09;126.21;127.41;0;2.231;2.72;2.081;2.344;118.67;124.85;125.22;122.91;2.66;3.896;3.382;4.316;3.865;60.01;60.01;60;60.01;-0.871;-0.848;-0.839;-0.852;-13123.29;-13650.23;-13265.34;-40038.86;7376.33;8510.11;8545.62;24432.07;15062.88;16116.23;15803.15;46982.26;1281;0;1308;2589;485444;627532;580545;1693521;1302203;1356325;1369191;4027719;111.67;121.08;118.81;117.18;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39503.3;0;2000-00-00 00:00:00;20982.27;44847.04;28/03/2022 18:55;44847.08;91039.47;28/03/2022 18:55
31/03/2022;00:04:00;126.62;128.31;125.76;126.9;0;2.217;2.657;2.211;2.362;116.73;125.03;121.52;121.1;2.56;3.896;3.53;3.697;3.708;60.02;60.02;60.03;60.02;-0.87;-0.86;-0.854;-0.86;-12852.02;-13767.22;-13044.2;-39663.44;7246.69;8187.74;7902.09;23336.52;14780.08;16043.61;15279.33;46103.03;1281;0;1308;2589;485565;627669;580682;1693916;1302452;1356593;1369449;4028494;113.47;122.16;120.1;118.58;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39824.34;0;2000-00-00 00:00:00;21469.26;44847.04;28/03/2022 18:55;45363.75;91039.47;28/03/2022 18:55
31/03/2022;00:05:00;126.47;128.37;125.42;126.75;0;2.114;2.538;2.125;2.259;117.35;123.21;121.35;120.64;2.73;4.085;3.855;3.972;3.971;59.98;59.98;60;59.99;-0.876;-0.86;-0.85;-0.861;-12981.32;-13601.23;-12938.23;-39520.79;7105.48;8047.1;8007.41;23159.98;14839.75;15818.45;15221.25;45879.45;1281;0;1308;2589;485684;627805;580816;1694305;1302701;1356859;1369707;4029267;112.93;121.44;119.34;117.9;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39512.63;0;2000-00-00 00:00:00;21545.61;44847.04;28/03/2022 18:55;45111.37;91039.47;28/03/2022 18:55
31/03/2022;00:06:00;126.23;128.04;125.18;126.49;0;2.053;2.556;2.121;2.243;117.1;124.78;117.37;119.75;2.55;3.998;3.512;4.144;3.885;60.01;60.01;60.02;60.01;-0.848;-0.849;-0.835;-0.848;-12525.06;-13809.5;-12277;-38611.57;8065.42;8417.93;8026.26;24509.61;14796.27;16028.49;14692.08;45516.85;1281;0;1308;2589;485807;627942;580952;1694701;1302954;1357129;1369965;4030048;113.99;121.91;119.98;118.63;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39572.76;0;2000-00-00 00:00:00;21919.22;44847.04;28/03/2022 18:55;45338.78;91039.47;28/03/2022 18:55
31/03/2022;00:07:00;124.46;125.71;123.65;124.61;0;1.925;2.436;2.097;2.153;155.72;163.75;157.98;159.15;2.51;3.447;3.185;3.069;3.234;60.03;60.02;60.02;60.02;-0.883;-0.883;-0.874;-0.868;-16869.38;-17926.36;-16833.09;-51628.84;9439.19;10072.91;9812.84;29324.93;19378.93;20587.09;19530.37;59496.39;1281;0;1308;2589;485940;628088;581094;1695122;1303222;1357416;1370236;4030874;116.32;123.76;121.69;120.59;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-39992.53;0;2000-00-00 00:00:00;22527.95;44847.04;28/03/2022 18:55;46012.12;91039.47;28/03/2022 18:55
31/03/2022;00:08:00;126.42;127.61;124.97;126.33;0;2.124;2.392;2.177;2.231;114.57;128.69;124.04;122.43;2.45;3.445;3.429;3.212;3.362;59.99;59.99;59.98;59.99;-0.854;-0.829;-0.854;-0.846;-12372.83;-13636.41;-13236.37;-39245.6;7559.53;9113.74;8023.29;24696.57;14487.15;16422.86;15499;46409.01;1281;0;1308;2589;486077;628238;581239;1695554;1303490;1357707;1370513;4031710;119.54;126.71;124.39;123.55;242.96;28/03/2022 18:55;237.67;28/03/2022 18:55;259.57;28/03/2022 18:55;246.73;28/03/2022 18:55;-40744.98;0;2000-00-00 00:00:00;23310.84;44847.04;28/03/2022 18:55;47052.4;91039.47;28/03/2022 18:55
